tissues,gene_type,prop_ers
adipose_subcutaneous,Parent gene,0.1227232009555091
adipose_subcutaneous,Protein Coding,0.09297719087635054
adipose_visceral_omentum,Parent gene,0.14959689459540162
adipose_visceral_omentum,Protein Coding,0.10816326530612246
adrenal_gland,Parent gene,0.13765303075544938
adrenal_gland,Protein Coding,0.10108043217286915
amygdala,Parent gene,0.14302776948342788
amygdala,Protein Coding,0.1127250900360144
anteriorcingulatecortexba24,Parent gene,0.16183935503135263
anteriorcingulatecortexba24,Protein Coding,0.12328931572629051
artery_aorta,Parent gene,0.1319796954314721
artery_aorta,Protein Coding,0.10858343337334934
artery_coronary,Parent gene,0.12690355329949238
artery_coronary,Protein Coding,0.09939975990396159
artery_tibial,Parent gene,0.1224246043595103
artery_tibial,Protein Coding,0.09351740696278511
brain_cerebellar_hemisphere,Parent gene,0.15915198566736338
brain_cerebellar_hemisphere,Protein Coding,0.12695078031212484
brain_cerebellum,Parent gene,0.1487011048074052
brain_cerebellum,Protein Coding,0.121968787515006
caudatebasalganglia,Parent gene,0.1540758435353837
caudatebasalganglia,Protein Coding,0.1223889555822329
colon_sigmoid,Parent gene,0.1164526724395342
colon_sigmoid,Protein Coding,0.0907563025210084
colon_transverse,Parent gene,0.12929232606748284
colon_transverse,Protein Coding,0.09915966386554621
cortex,Parent gene,0.14302776948342788
cortex,Protein Coding,0.11614645858343338
esophagus_gastroesophageal_junction,Parent gene,0.12750074649148999
esophagus_gastroesophageal_junction,Protein Coding,0.10012004801920768
esophagus_mucosa,Parent gene,0.11943863839952225
esophagus_mucosa,Protein Coding,0.08313325330132053
esophagus_muscularis,Parent gene,0.12809793968348762
esophagus_muscularis,Protein Coding,0.09933973589435774
frontalcortexba9,Parent gene,0.15228426395939088
frontalcortexba9,Protein Coding,0.11962785114045618
heart_atrial_appendage,Parent gene,0.1325768886234697
heart_atrial_appendage,Protein Coding,0.10300120048019208
heart_left_ventricle,Parent gene,0.1319796954314721
heart_left_ventricle,Protein Coding,0.10036014405762304
hippocampus,Parent gene,0.14481934905942073
hippocampus,Protein Coding,0.11278511404561825
hypothalamus,Parent gene,0.15497163332338013
hypothalamus,Protein Coding,0.1222689075630252
kidney_cortex,Parent gene,0.14690952523141237
kidney_cortex,Protein Coding,0.11656662665066027
liver,Parent gene,0.10749477455957002
liver,Protein Coding,0.0875750300120048
lung,Parent gene,0.1696028665273216
lung,Protein Coding,0.13247298919567826
minor_salivary_gland,Parent gene,0.14750671842340998
minor_salivary_gland,Protein Coding,0.10600240096038416
muscle_skeletal,Parent gene,0.13078530904747687
muscle_skeletal,Protein Coding,0.09963985594237695
nerve_tibial,Parent gene,0.1373544341594506
nerve_tibial,Protein Coding,0.115906362545018
nucleusaccumbensbasalganglia,Parent gene,0.15288145715138848
nucleusaccumbensbasalganglia,Protein Coding,0.12328931572629051
pancreas,Parent gene,0.13078530904747687
pancreas,Protein Coding,0.09513805522208883
pituitary,Parent gene,0.15198566736339206
pituitary,Protein Coding,0.125750300120048
putamenbasalganglia,Parent gene,0.15049268438339802
putamenbasalganglia,Protein Coding,0.11566626650660264
skin_not_sun_exposed_suprapubic,Parent gene,0.1427291728874291
skin_not_sun_exposed_suprapubic,Protein Coding,0.10450180072028811
skin_sun_exposed_lower_leg,Parent gene,0.1373544341594506
skin_sun_exposed_lower_leg,Protein Coding,0.10402160864345739
small_intestine_terminal_ileum,Parent gene,0.16213795162735145
small_intestine_terminal_ileum,Protein Coding,0.12611044417767106
spinalcordcervicalc-1,Parent gene,0.15168707076739324
spinalcordcervicalc-1,Protein Coding,0.10768307322929171
spleen,Parent gene,0.13675724096745298
spleen,Protein Coding,0.10198079231692678
stomach,Parent gene,0.1277993430874888
stomach,Protein Coding,0.09639855942376951
substantianigra,Parent gene,0.13944461033144223
substantianigra,Protein Coding,0.10912364945978391
thyroid,Parent gene,0.13466706479546134
thyroid,Protein Coding,0.10702280912364946
whole_blood,Parent gene,0.10182143923559271
whole_blood,Protein Coding,0.07869147659063626
